image_id,filepath,borough,sample_group,stress,calm,safety,vitality,scene_description
1048585860586204,images/Redbridge/1048585860586204.jpg,Redbridge,random,5.1,5.5,4.3,4.3,"The road has multiple lanes with cars driving on it, and there are trees and streetlights along the sides."
379566460086058,images/Ealing/379566460086058.jpg,Ealing,random,5.6,3.2,4.8,4.3,"A two-lane urban road with a pedestrian sidewalk on the left, lined with shops and restaurants including McDonald's. The road has a few vehicles, including a black SUV and a red car. Pedestrians are walking on the sidewalk."
1786985018411895,images/Camden/1786985018411895.jpg,Camden,random,4.9,4.5,6.0,5.0,"A city street with buildings, bare trees, parked cars, a green metal fence, a brick wall, people walking and cycling, and a road marked with 'SCHOOL' in yellow paint."
322291159395298,images/Bexley/322291159395298.jpg,Bexley,random,4.3,4.8,5.2,3.7,"The image shows a suburban street with cars parked along both sides, featuring houses with brick exteriors and tiled roofs, and a blue sky with white clouds above."
266023545929762,images/Richmond_upon_Thames/266023545929762.jpg,Richmond upon Thames,random,4.1,7.2,3.5,2.0,A green building with multiple windows stands behind a wooden fence and a row of trees and bushes.
162047722516039,images/City_of_London/162047722516039.jpg,City of London,random,6.9,2.3,4.8,4.3,A large building with a arched entrance stands behind a road intersection with traffic lights.
5231464540201573,images/Bromley/5231464540201573.jpg,Bromley,random,2.4,7.6,4.8,2.3,"A road with trees and bushes on both sides, a speed limit sign on the right, and a cloudy sky above."
1230367942048094,images/Hounslow/1230367942048094.jpg,Hounslow,random,5.6,4.8,3.8,2.3,A photograph taken from a vehicle on a multi-lane road with a metal barrier to the left and other vehicles in front. The road has white markings and there are trees and buildings in the background under a cloudy sky.
150710133594122,images/Brent/150710133594122.jpg,Brent,random,1.9,8.5,6.8,4.3,"A paved path runs alongside a body of water, lined with grass and trees on one side and a dense hedge on the other."
2057193337761503,images/Bromley/2057193337761503.jpg,Bromley,random,3.6,6.2,5.3,3.3,"A suburban street with trees lining both sides, houses behind fences and gardens on the left, and a row of parked cars on the right. The road is tarmac with white markings. A grass verge separates the road from the pavement on the left."
849609889321903,images/Greenwich/849609889321903.jpg,Greenwich,random,3.4,6.5,5.3,3.3,"A suburban street with a row of houses on either side, a few cars parked along the road, and trees lining the sidewalk under a cloudy sky."
1524455017941861,images/Ealing/1524455017941861.jpg,Ealing,random,4.3,4.8,3.2,1.7,"A street scene with parked cars along the side of a road, a wooden fence separating the road from a grassy area with bare trees, and a cloudy sky above."
1004577386845832,images/Kensington_and_Chelsea/1004577386845832.jpg,Kensington and Chelsea,random,6.9,2.2,5.0,6.0,A woman in a green leather jacket and a man in a black leather jacket are walking down a street with a market in the background.
734683652471324,images/Brent/734683652471324.jpg,Brent,random,4.6,5.9,6.3,4.3,"A residential street with cars parked along both sides, lined with trees and brick buildings under a blue sky with clouds."
1103962721751983,images/Hounslow/1103962721751983.jpg,Hounslow,random,2.4,6.1,4.8,2.3,"The photograph shows a road with a grassy hill on one side, a fence on top of the hill, and a cloudy sky. The road is empty and has a guardrail along the side closest to the hill. There are trees and greenery on the right side of the hill."
806537633627956,images/City_of_London/806537633627956.jpg,City of London,random,3.7,5.2,5.8,3.3,A paved courtyard with a large potted tree and a building with glass windows and doors.
381260744074188,images/City_of_London/381260744074188.jpg,City of London,random,3.4,4.1,4.3,3.3,"A person wearing a yellow safety jacket stands beside a green metal door on a sidewalk made of large gray tiles, adjacent to a red brick wall with a brown gate."
1382651655441772,images/Brent/1382651655441772.jpg,Brent,random,4.9,5.8,3.7,2.7,"A street scene with cars driving on a road flanked by residential buildings and trees, under a cloudy sky."
1965905510251867,images/Bexley/1965905510251867.jpg,Bexley,random,4.9,4.5,3.8,2.3,"A multi-lane road with cars and a truck traveling on it, lined with streetlights, trees, and houses on the left side under a cloudy sky."
144911347597850,images/Barnet/144911347597850.jpg,Barnet,random,6.9,2.2,4.3,4.3,"The image shows a street with a row of shops on the left and right, several cars driving on the road, and a sidewalk with a few pedestrians."
3960825717289971,images/Tower_Hamlets/3960825717289971.jpg,Tower Hamlets,high_stress,8.0,1.6,4.3,4.3,a city street with several vehicles and tall buildings on either side
1437622666630184,images/Waltham_Forest/1437622666630184.jpg,Waltham Forest,high_stress,7.7,2.9,3.7,2.7,"A multi-lane highway with cars driving in both directions, surrounded by brick walls and underpasses, with a bridge and streetlights visible in the background."
3831659007059307,images/Westminster/3831659007059307.jpg,Westminster,high_stress,7.7,2.9,2.7,1.7,A city street with multiple buildings and lit-up cars driving on the road.
436078068376836,images/Tower_Hamlets/436078068376836.jpg,Tower Hamlets,high_stress,7.7,2.9,4.7,3.7,"The image shows a street with parked cars on the right side and a few cars driving on the road, with buildings and trees on both sides."
1069554004511711,images/Hackney/1069554004511711.jpg,Hackney,high_stress,7.7,2.9,4.3,4.3,"A city street with buildings, trees, and vehicles on a road marked with taxi lanes and other traffic markings."
948147969642645,images/Hounslow/948147969642645.jpg,Hounslow,high_calm,1.8,8.8,6.8,4.3,a green field enclosed by a fence with trees in the background and a clear blue sky above
681084239279260,images/Ealing/681084239279260.jpg,Ealing,high_calm,1.9,8.5,6.8,4.3,"A paved path runs along the edge of a body of water, surrounded by trees and greenery."
744637729566618,images/Greenwich/744637729566618.jpg,Greenwich,high_calm,1.9,8.5,6.8,4.3,A paved path curves through a grassy area with trees on one side and a field on the other under a blue sky with white clouds.
144247037688163,images/Greenwich/144247037688163.jpg,Greenwich,high_calm,1.9,8.5,6.8,4.3,The scene shows a gravel path curving through a grassy area with trees on the right and a field on the left under a blue sky with white clouds.
322396782610418,images/Westminster/322396782610418.jpg,Westminster,high_safety,4.7,3.6,8.7,6.7,"The image shows a large room with white walls and a high ceiling, featuring several people looking at artwork and a display case."
468270254276719,images/Richmond_upon_Thames/468270254276719.jpg,Richmond upon Thames,high_safety,4.6,5.9,7.7,7.7,The image shows a street with brick buildings and hanging flower baskets on either side with a few people walking on the sidewalk and a silver car parked on the left.
1191165257986897,images/Tower_Hamlets/1191165257986897.jpg,Tower Hamlets,high_safety,3.1,7.8,7.7,7.7,The image shows a paved path with people riding bicycles in a park-like setting with trees and grass.
227868632440032,images/Kingston_upon_Thames/227868632440032.jpg,Kingston upon Thames,high_safety,2.7,7.0,7.5,6.0,"A tree-lined paved path with a grassy verge and a low wall on one side, with a person walking in the distance."
1511793446300774,images/Hounslow/1511793446300774.jpg,Hounslow,high_safety,5.0,4.3,7.5,6.0,"a large multi-story building with a modern facade featuring various colored panels and numerous windows, a grassy area with trees and bushes in front, and a road or walkway to the side"
1722256454785270,images/Kensington_and_Chelsea/1722256454785270.jpg,Kensington and Chelsea,diverse_boroughs,5.1,3.2,2.5,1.0,A blurred image of a multi-story building with white-framed windows and a black vehicle in the foreground.
3820015124787263,images/Westminster/3820015124787263.jpg,Westminster,diverse_boroughs,6.2,4.9,3.7,2.7,"A city street with cars parked along both sides, trees lining the road, and buildings of varying heights in the background."
1013794687253153,images/Richmond_upon_Thames/1013794687253153.jpg,Richmond upon Thames,diverse_boroughs,5.7,5.2,5.8,4.3,"A road with cars driving on it, lined with trees and a fence, and a sign that reads 'Red Route Clearway' and 'No stopping'."
506871233832361,images/Lewisham/506871233832361.jpg,Lewisham,diverse_boroughs,5.4,4.2,5.2,3.7,A black car is driving down a road lined with houses and streetlights.
171328774890863,images/Hackney/171328774890863.jpg,Hackney,diverse_boroughs,6.1,3.9,5.8,4.3,A red car drives down a street lined with brick buildings and parked cars.
897056174290601,images/Croydon/897056174290601.jpg,Croydon,extra_fill,2.9,7.8,3.2,2.7,A man walks on a grassy path beside a wooded area.
