feature,score,spearman_r,p_value
sky_fraction,stress,-0.5573954244891195,9.75270481017327e-55
sky_fraction,calm,0.45080118162927674,4.211746752739468e-34
sky_fraction,vitality,-0.18907244201325293,1.0952301705459863e-06
sky_fraction,enclosure,-0.9365218102874788,1.9607743913782875e-299
sky_fraction,safety,-0.048835329375507955,0.21195835895279663
sky_fraction,desolation,0.1645538397416325,2.3135418004805175e-05
greenery_enc,stress,-0.5275895848385258,3.264430449671123e-48
greenery_enc,calm,0.8993478486718058,8.439853028573344e-237
greenery_enc,vitality,0.049622558287011724,0.2046750534853883
greenery_enc,enclosure,-0.30700363001154335,9.205577551320507e-16
greenery_enc,safety,0.18391890563331972,2.152856768265571e-06
greenery_enc,desolation,-0.05014590196647483,0.1999347244664455
height_enc,stress,0.6939350994692144,3.200358107137726e-95
height_enc,calm,-0.544946104905612,6.2248274802123e-52
height_enc,vitality,0.23893754608636958,5.889224471777607e-10
height_enc,enclosure,0.9525958272990344,0.0
height_enc,safety,0.03664306980494661,0.34910428656565423
height_enc,desolation,-0.21209441322753864,4.247860574387893e-08
traffic_enc,stress,0.7783252369927932,4.0526243988468863e-134
traffic_enc,calm,-0.5168176226457195,5.202268281781259e-46
traffic_enc,vitality,0.15869694083602842,4.5103821034836294e-05
traffic_enc,enclosure,0.15840966569113848,4.657738870764202e-05
traffic_enc,safety,-0.15991161173113694,3.934703104317693e-05
traffic_enc,desolation,-0.17493968860550768,6.686008907357547e-06
pedestrian_enc,stress,0.2587094679538805,1.7766925275365178e-11
pedestrian_enc,calm,-0.20163894017988293,1.9480389853148512e-07
pedestrian_enc,vitality,0.6688809961937174,3.6715306500909765e-86
pedestrian_enc,enclosure,0.3404193815155177,3.107679495777917e-19
pedestrian_enc,safety,0.29099501714477816,3.001932166651574e-14
pedestrian_enc,desolation,-0.6179057064291155,3.1932662386107564e-70
surface_enc,stress,-0.10402103297954601,0.00771365579607541
surface_enc,calm,0.0874661233100465,0.025186288214357727
surface_enc,vitality,0.34694471451182013,5.79692580449294e-20
surface_enc,enclosure,-0.03643312781502983,0.3518742848982258
surface_enc,safety,0.6028045170783419,4.801677848070017e-66
surface_enc,desolation,-0.49574652856056073,6.354023881994314e-42
light_enc,stress,-0.005914762577000719,0.8799058964760434
light_enc,calm,0.13146648464209632,0.0007439705561559309
light_enc,vitality,0.6684406047358914,5.2020503042202644e-86
light_enc,enclosure,0.01907329320676365,0.6260782600141951
light_enc,safety,0.7123831371318606,1.6389050445853516e-102
light_enc,desolation,-0.640205393015185,8.001387081013395e-77
