feature,emotion_score,spearman_r,p_value
sky_fraction,stress,-0.5573954244891195,9.75270481017327e-55
sky_fraction,calm,0.45080118162927674,4.211746752739468e-34
sky_fraction,enclosure,-0.9365218102874788,1.9607743913782875e-299
greenery_enc,stress,-0.5275895848385258,3.264430449671123e-48
greenery_enc,calm,0.8993478486718058,8.439853028573344e-237
traffic_enc,stress,0.7783252369927932,4.0526243988468863e-134
traffic_enc,calm,-0.5168176226457195,5.202268281781259e-46
traffic_enc,safety,-0.15991161173113694,3.934703104317693e-05
pedestrian_enc,vitality,0.6688809961937174,3.6715306500909765e-86
pedestrian_enc,safety,0.29099501714477816,3.001932166651574e-14
pedestrian_enc,desolation,-0.6179057064291155,3.1932662386107564e-70
